driver_id,home_zone_id,vehicle_type,service_type,status,rating,tenure_days
DRV-000495,ZON-040,sedan,sedan,active,4.59,784
DRV-000496,ZON-105,bike,bike_taxi,active,4.41,277
DRV-000497,ZON-050,mini,mini,active,3.78,424
DRV-000498,ZON-092,auto,auto,active,3.51,618
DRV-000499,ZON-021,auto,auto,active,4.63,348
DRV-000500,ZON-032,bike,bike_taxi,active,4.76,798
DRV-000501,ZON-090,bike,bike_taxi,active,3.67,894
DRV-000502,ZON-024,mini,mini,active,3.75,67
DRV-000503,ZON-084,auto,auto,active,3.55,284
DRV-000504,ZON-010,mini,mini,active,4.39,584
DRV-000505,ZON-006,bike,bike_taxi,active,3.56,385
DRV-000506,ZON-015,bike,bike_taxi,active,3.21,410
DRV-000507,ZON-021,auto,auto,active,4.36,575
